DID,Wave 1,W1pickup,W1dropoff,ManualCorrectedEnter,ManualCorrectedExit,Note,PickupDropoffDiff
20,complete,8/27/2014,9/3/2014,,,,7
21,complete,8/20/2014,9/3/2014,,08/27/2014,,14
22,complete,8/20/2014,8/27/2014,,,,7
23,complete,10/1/2014,10/8/2014,,,,7
24,complete,9/3/2014,9/10/2014,,,,7
25,complete,9/3/2014,9/10/2014,,,,7
26,complete,10/1/2014,10/8/2014,,,,7
27,complete,9/10/2014,9/17/2014,,,,7
28,complete,9/17/2014,9/24/2014,,,,7
29,complete,9/10/2014,9/24/2014,,09/17/2014,,14
31,complete,9/24/2014,10/1/2014,,,,7
32,complete,9/24/2014,10/1/2014,,,,7
33,complete,10/1/2014,10/8/2014,,,,7
34,complete,10/8/2014,10/15/2014,,,,7
35,complete,10/15/2014,10/22/2014,,,,7
36,complete,10/8/2014,10/15/2014,,,,7
37,complete,10/1/2014,10/8/2014,,,,7
38,complete,10/1/2014,10/8/2014,,,,7
40,complete,10/8/2014,10/15/2014,,,,7
41,complete,10/15/2014,10/22/2014,,,,7
42,complete,10/22/2014,10/30/2014,,10/29/2014,,8
43,complete,10/8/2014,10/15/2014,,,,7
44,complete,10/8/2014,10/15/2014,,,,7
45,complete,12/3/2014,12/11/2014,,12/10/2014,,8
46,complete,11/5/2014,11/12/2014,,,,7
47,complete,11/5/2014,11/12/2014,,,,7
48,complete,11/5/2014,11/12/2014,,,,7
49,complete,10/29/2014,11/5/2014,,,,7
50,complete,10/22/2014,10/29/2014,,,,7
51,complete,10/22/2014,10/29/2014,,,,7
52,complete,11/5/2014,11/12/2014,,,,7
53,complete,10/29/2014,11/5/2014,,,,7
54,complete,10/30/2014,11/6/2014,,,,7
55,complete,11/12/2014,11/19/2014,,,,7
56,complete,10/30/2014,11/6/2014,,,,7
57,complete,11/19/2014,11/26/2014,,,,7
58,complete,10/30/2014,11/6/2014,,,,7
59,complete,11/6/2014,11/13/2014,,,,7
60,complete,11/12/2014,11/19/2014,,,,7
61,complete,11/12/2014,11/19/2014,,,,7
62,complete,11/13/2014,11/20/2014,,,,7
63,complete,11/13/2014,11/20/2014,,,,7
64,complete,11/19/2014,12/10/2014,12/3/2014,,,21
65,complete,11/19/2014,11/26/2014,,,,7
66,complete,11/19/2014,12/11/2014,,11/26/2014,,22
67,complete,11/19/2014,11/26/2014,,,,7
68,complete,11/19/2014,11/26/2014,,,,7
69,complete,11/19/2014,11/26/2014,,,,7
70,complete,12/3/2014,12/10/2014,,,,7
71,complete,1/15/2015,1/22/2015,,,,7
72,complete,1/8/2015,1/15/2015,,,,7
73,complete,1/14/2015,1/22/2015,,01/21/2015,,8
74,complete,12/10/2014,12/18/2014,,12/17/2014,,8
75,complete,12/4/2014,12/11/2014,,,,7
76,complete,12/10/2014,12/17/2014,,,,7
77,complete,12/10/2014,12/17/2014,,,,7
78,complete,12/10/2014,12/17/2014,,,,7
79,complete,12/11/2014,12/18/2014,,,,7
80,complete,12/4/2014,12/11/2014,,,,7
81,complete,12/11/2014,12/18/2014,,,,7
82,complete,2/25/2015,3/4/2015,,,,7
83,complete,12/11/2014,12/18/2014,,,,7
84,complete,12/11/2014,12/18/2014,,,,7
85,complete,1/14/2015,1/21/2015,,,,7
86,complete,1/15/2015,1/22/2015,,,,7
87,complete,1/15/2015,1/22/2015,,,,7
88,complete,1/15/2015,1/22/2015,,,,7
89,complete,1/21/2015,1/28/2015,,,,7
90,complete,1/21/2015,1/28/2015,,,,7
91,complete,1/28/2015,2/4/2015,,,,7
92,complete,1/21/2015,1/29/2015,,01/28/2015,,8
93,complete,1/21/2015,1/29/2015,,01/28/2015,,8
94,complete,1/21/2015,1/29/2015,,01/28/2015,,8
95,complete,1/28/2015,2/5/2015,,02/04/2015,,8
96,complete,1/22/2015,1/29/2015,,,,7
97,complete,1/28/2015,2/4/2015,,,,7
98,complete,2/18/2015,2/25/2015,,,,7
99,complete,2/25/2015,3/4/2015,,,,7
100,complete,3/5/2015,3/19/2015,,03/12/2015,,14
101,complete,2/25/2015,3/4/2015,,,,7
102,complete,3/5/2015,3/12/2015,,,,7
103,complete,2/25/2015,3/4/2015,,,,7
104,complete,2/18/2015,2/25/2015,,,,7
105,complete,2/18/2015,2/25/2015,,,,7
106,complete,2/18/2015,2/25/2015,,,,7
107,complete,3/5/2015,3/12/2015,,,,7
108,complete,2/18/2015,2/25/2015,,,,7
109,complete,2/25/2015,3/4/2015,,,,7
